,text,sentiment
1427,"Chinese travel services provider Ctrip likely to join Zomatos financing round, may invest around million",Positive
1428,ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold First you guys request us to invit,Negative
1429,"gesangbekti omphramz baca reviewnya di zomato sih yg paling kecil bintang , jadi nampaknya  lumayan dan menunya",Neutral
1430,"kiranbadcode Zomato ZomatoIN Hi Kiran, kindly share your order details and we shall sort this out for you at the earliestAM",Positive
1431,kewlioharsh Zomato ZomatoIN Best to delete their app so they cant make any money selling your data either,Positive
1432,"priyaidnani ZomatoIN Zomato disappointed with your change in policy You guys should have thought before introducing the policy, cha",Negative
1433,nehave ZomatoGold Zomato Best to delete their app so they cant make any money selling your data either,Positive
1434,kksaiprashanth Zomato ZomatoIN Best to delete their app so they cant make any money selling your data either,Positive
1435,savinggothambrb Zomato Best to delete their app so they cant make any money selling your data either,Positive
1436,sonikasonik Yep We referred friends and colleagues precisely due to the older TampCs This is sheer cheating ZomatoIN zomatogold,Positive
1437,adityaaaa Zomato Best to delete their app so they cant make any money selling your data either,Positive
1438,vilegenius Zomato Best to delete their app so they cant make any money selling your data either,Positive
1439,Zomato ZomatoIN ZomatoGold This is not a small change You should honour your offer One of the main reason why,Positive
1440,zomatocare  Zomato is purely cheating customers Stealing customers money Please switch to swiggyin SwiggyCares As they are far better,Negative
1441,Zomato Unprofessional Ignoring India Food still not received a single call from you guys zomatocare Zomato,Negative
1442,"swiggyin This is the second time, My order was delivered extremely late and you just have sent partial order Ext",Neutral
1443,zomatocare Zomato ZomatoIN,Neutral
1444,ennwhee Temmebout it How the heck is Swiggy hyper local dist startup,Neutral
1445,kewalramanis ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold First you guys request us to invite our,Negative
1446,zomatocare Zomato ZomatoIN I need an immediate call,Neutral
1447,"fssaiindia FSSAI has directed eCommerce entities like Swiggy, Zomato, etc to delist nonFSSAI licensed food operators and ensure com",Positive
1448,iamdariusxavier deepigoyal pankajchaddah well thats really wrong and bad to cheat consumers  At least give the services we consume,Negative
1449,"mohitagarwal Zomato sir i dont know about ethics, im a subscriber, i have no problems with it at all Seemed",Negative
1450,Zomato ZomatoIN zomatogold zomatocare ZomatoGold,Neutral
1451,BriiShah ZomatoIN Really terrible change in the new terms amp conditions of Zomato Gold Where only ONE of the  or THREE members on th,Negative
1452,rohini kutumbthali  indias biggest thali foodie foodbloger foodgasm foodlover zomato zomatoconnoisseur,Neutral
1453,"iamaayushij Zomato ha, i just took a screenshot and posted",Positive
1454,aartijethwani b Zomato Damn,Negative
1455,BriiShah ZomatoIN Really terrible change in the new terms amp conditions of Zomato Gold Where only ONE of the  or THREE members on th,Negative
1456,"Zomato ZomatoIN zomatocare This is not done You can not change conditions with retrospective effect , this case",Neutral
1457,foodpandaIndia It was really embarrassing for me that while I ordered food for my VIP guests and was waiting for i,Positive
1458,"In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service provid",Positive
1459,ZomatoIN zomatocare here zomato is playing dirty gameswhy are you putting restrictions after people have bought,Negative
1460,Good call by Zomato  People were misusing it like anything,Positive
1461,ZomatoIN Zomato zomatocare You be so smart with your creatives but dumb as fuck when it comes to service ORM te,Negative
1462,But fuck foodpanda for their late deliveries and scam vouchers that has a minimum purchase amp RM je pun like delivery is already RM so,Negative
1463,ZomatoGold and ZomatoIN you might want to take a look at this,Positive
1464,We ordered food yest from HotwokVashi thru SwiggyCares order veg manchurian delivered was staleon,Neutral
1465,There has been no reply from Zomato for this issue Zomato zomatocare ZomatoIN  deepigoyal Is this the CX servi,Negative
1466,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1467,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1468,"Sergixta Hey ZomatoIN , whats up with thisDoes that fact that I have no friends and I eat alone mean that I cant use your gold b",Neutral
1469,kewalramanis ZomatoIN Really disappointed to see you guys change your rules for Zomato Gold First you guys request us to invite our,Negative
1470,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1471,iamdariusxavier deepigoyal pankajchaddah well thats really wrong and bad to cheat consumers  At least give the services we consume,Negative
1472,"Except, the problem with most consumer courts in India is how they arent any different from the civilcriminal pro",Negative
1473,Thank u for this tweet I fed up with Olacabs,Positive
1474,shrinivassg Zomato has made a tweak to its Zomato Gold Result of restaurant pushback,Neutral
1475,ZomatoIN So a sudden change in policy to use Zomato Gold Now only one allowed for two diners That is adhoc and c,Neutral
1476,pacificleo Zomato I dont think  people on the table all having subscription and using it can be called misusing,Neutral
1477,Chinas Travel Company Ctrip May Invest  Mn In Zomato As the foodtech war intensifies with Indian giants betti,Negative
1478,ays ZomatoIN So a sudden change in policy to use Zomato Gold Now only one allowed for two diners That is adhoc and completely nons,Neutral
1479,Thank you for your patronage Were glad that you had a great experience with us We will remain committed to provi,Positive
1480,"techieV Except, the problem with most consumer courts in India is how they arent any different from the civilcriminal proceedings t",Negative
1481,"fssaiindia FSSAI has directed eCommerce entities like Swiggy, Zomato, etc to delist nonFSSAI licensed food operators and ensure com",Positive
1482,"Just got mugged by zomato , how can u change the offer after charging for zomato gold Zomato zomatocare",Neutral
1483,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1484,"armaanGGMUmirza Zomato ZomatoGold ZomatoIN Completely changed their Gold Policy, now you can use only  gold if",Neutral
1485,"Go for licence, would you like to be in market Good moove",Positive
1486,VJJU ZomatoIN Zomato Zomato wants you to order for your friends as well Try doing that and they will accept it,Positive
1487,terrorisse FOODPANDA,Neutral
1488,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1489,nekzaad Image  TampC clearly state that EACH Zomato gold member can order and avail of a  dish So  gold members can get  dishes,Positive
1490,"techieV Except, the problem with most consumer courts in India is how they arent any different from the civilcriminal proceedings t",Negative
1491,"ltgt   Ctrip,         Chinas Travel Company Ctrip May Invest  Mn In Zomato",Neutral
1492,"foodpandaIndia what a service Just classic, tell me one reason why not to prefer swiggy as my trusted food delive",Positive
1493,Alexithymic Please find snapshot of old zomatogold membership terms and conditions  Its contractually wrong for you to change them,Negative
1494,bansalpiyushh ZomatoIN zomatocare here zomato is playing dirty gameswhy are you putting restrictions after people have bought your,Negative
1495,"Absolute PONZI scheme by ZomatoGoldShocked a business like Zomato gains solid reputation,stoops to such crass",Positive
1496,hardiknow Zomato Yes It has to make sense to the restaurant partner to sustain Its FUP  of sorts for Food Deliv,Positive
1497,Sinhaboyy honestly Zomato chat support is nothing compared man True story,Positive
1498,"orsoraggiante Swiggy gives ads on TV advertising deliveries of  So yes, people are burning petrol for paan",Positive
1499,zomatocare Zomato Your delivery executive is denying to deliver the mealsPreviously you delivered many order,Negative
1500,"Im so pissed off with the brands these days Most days i tweet only complaints to either Zomato, Uber, Ola or Voda",Negative
1501,NARRATOR  DAMERA entered the room,Neutral
1502,BaidArpit deepigoyal Zomato Have u ever bothered to see the service you providePathetic is like being nice to describe itTotal,Positive
1503,Investment in Zomato  is the second investment by Ctrip in India,Neutral
1504,Zomato ZomatoIN ZomatoGold in bird culture this is called a dk move RickAndMorty unethical DeleteZomato,Negative
1505,"Wow, another shitty Zomato Gold Update  You guys have out done yourselves this time though Changing a policy a f",Positive
1506,"bobendrasingh Zomato Hey Bobendra, that doesnt sound correct at allWe have your details and we shall get this checked ASAPAM",Neutral
1507,"Absolute PONZI scheme by ZomatoGoldShocking a business like Zomato gains solid reputation,stoops to such crass",Positive
1508,Inc Investment in Zomato  is the second investment by Ctrip in India,Neutral
1509,"Absolute PONZI scheme by ZomatoGoldShocking a business like Zomato gains solid reputation,stoops to such crass",Positive
1510,"kksaiprashanth Hey Zomato ZomatoIN, I didnt sign up for this deal Could I please get a refund",Positive
1511,"SwiggyCares why isnt swiggy pop available in my area  Its in Chennai , AYANAVARAM",Neutral
1512,I gve special instructions that I want a bill but swiggyin dont care about their customers at all I still didnt,Negative
1513,"nekzaad ZomatoIN Absolute PONZI scheme by ZomatoGoldShocking a business like Zomato gains solid reputation,st",Positive
1514,I liked a YouTube video  Rs  Food Challenge Zomato Gold  Cyber HUB,Positive
1515,"What a game by zomato team,first influence the public to subscribe for zomato gold and then change the policy overn",Neutral
1516,"Zomato Gold Update For  diners, only  gold can be unlocked now Seems fair given how ppl misuse thisBut I",Positive
1517,yashch ZomatoIN This is just cheating The reason why I gt zomato gold was because of the benefits This benefit,Positive
1518,Alexithymic Please find snapshot of old zomatogold membership terms and conditions  Its contractually wrong for you to change them,Negative
1519,zomatocare Zomato Please check order id,Positive
1520,"shravi ZomatoIN ZomatoGold Zomato  this is so uncool, first you charge a bomb for such a membership and suddenly you just make",Negative
1521,"kartattack zomatocare seriously Now that u ve got enough ppl on board, u wanna reiterate ur zomatoGold benefits in an adverse w",Negative
1522,Alexithymic Terrible decision by zomato  You cant apply terms and condition to us Please issue a refund or revoke the news terms,Negative
1523,Zomato please call me on,Positive
1524,harshilhere Thanks for the party foodpandaIndia  You are the best host ever foodpanda craveparty,Positive
1525,kksaiprashanth Zomato ZomatoIN It was bound to happen It was too good to last,Positive
1526,kutumb kutumbthali  indias biggest thali foodie foodbloger foodgasm foodlover zomato zomatoconnoisseur,Neutral
1527,TheBaronVj Zomato ZomatoIN They shouldve realised it before they signed up so many customers I referred my who,Neutral
1528,RangaprasadKPR Swiggy Delivery Boys flouting Traffic rules daily in Chennai City Will swiggyin SwiggyCares harshamjty and Polic,Neutral
1529,kksaiprashanth Zomato ZomatoIN Precisely Night out with friends becomes ruined because of this shit,Negative
1530,"Earlier there was no restrictions of usage of Zamato gold After paying huge money to buy Zomato Gold, they did thi",Neutral
1531,The reason why I am not purchasing Zomato gold membership You guys promise the delivery of the product and afte,Positive
1532,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1533,"kksaiprashanth Hey Zomato ZomatoIN, I didnt sign up for this deal Could I please get a refund",Positive
1534,TheBaronVj Zomato ZomatoIN And its not like we asked them to introduce Zomato Gold and neither are we using it,Negative
1535,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1536,kksaiprashanth Zomato ZomatoIN Exactly As if one blow wasnt bad enough,Positive
1537,deepigoyal how can you guys just change the Zomato Gold policies like that I always go out in groups of  and all,Positive
1538,"So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they",Positive
1539,"asingh Zomato SwiggyCares Hey Arpit, that doesnt sound like a pleasing experienceWe have your details and",Negative
1540,Whats wrong with ZomatoIN First attract customers with false offers and then change the terms and conditions ove,Negative
1541,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1542,iRhythmGupta Zomato deepigoyal Why is it misusing if that was the actual policy Restaurants have voluntarily si,Neutral
1543,Cant wait for the outrage,Negative
1544,zomatocare Zomato This order suppose to deliver to hospital for patient and attendantBut your delivery boy didn,Neutral
1545,Dont have Zomato Piggybank yet I can help B Get exclusive access to Zomato Piggybank with my invite code MDSU,Positive
1546,zomatocare Zomato ZomatoIN Changing policies after customer has bought a service is very unfair While purchasin,Negative
1547,arjunsingh cant you see Zomato losing faceampsolid reputation built with ZomatoGold ampnow turning into nothing,Negative
1548,"Someone please send it to me via Foodpanda or Deliveroo, Dm me for my postal code and floor",Positive
1549,arjunsingh ZomatoIN Zomato It still does not justify making such radical changes midway when that was the v,Neutral
1550,Zomato ZomatoIN ZomatoGold deepigoyal  the Zomato GOLD update in user policy as of th September is really a dissatisfier  Unhappy,Negative
1551,What the actual fuckWhy JUST WHY ZomatoGold,Neutral
1552,sonikasonik iRhythmGupta Zomato deepigoyal Why is it misusing if that was the actual policy Restaurants have voluntarily signed u,Neutral
1553,khushboo Whats wrong with ZomatoIN First attract customers with false offers and then change the terms and conditions overnight,Negative
1554,penguica deepigoyal how can you guys just change the Zomato Gold policies like that I always go out in groups of  and all my friend,Positive
1555,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1556,Zomato ZomatoGold ZomatoIN,Neutral
1557,Zomato Promo Code   OFF September   VoucherCodesUAE          Off,Neutral
1558,Ctrip in talks to invest in Indian food delivery service Zomato,Neutral
1559,"sasmitapradhan ZomatoIN Zomato No delivery of food ,take almost double time , no customer support , no live tra",Negative
1560,deepigoyal Please reconsider the change in ur Zomato gold policy It is highly unfair and discriminatory,Negative
1561,My  reviews have been deleted with no reasons atall and now when I updated a new review yesterday that also got d,Negative
1562,ZomatoIN Zomato,Neutral
1563,Rightly said ZomatoIN,Neutral
1564,apurvahv ZomatoIN Clear and staright example of cheating by Zomato,Negative
1565,ZomatoIN what if there are  friends on a table Can two Zomato golds be opened or will it be only one,Positive
1566,arjunsingh ZomatoIN Zomato You might get more partners on board but you will surely lose zomatogold custom,Positive
1567,chawla NARRATOR  DAMERA entered the room,Neutral
1568,What else can you expect from chindi zomatogold Zomato Changing the tnc when I have paid for the gold members,Neutral
1569,ZomatoIN Zomato aajtak ndtv PMOIndia Zomato pls stop cheating with people You sold gold membership to individ,Negative
1570,iRhythmGupta Zomato deepigoyal Exactly diners on the table using  zomato gold is not at all a misuse We ha,Positive
1571,"jatinchheda nekzaad ZomatoIN Absolute PONZI scheme by ZomatoGoldShocking a business like Zomato gains solid reputation,stoops to",Positive
1572,rochit Zomato Very bad zomato you sold so many membership on the basis of  for,Negative
1573,rochit Why Zomato  Why would you do such a horrible thing,Negative
1574,"Zomato No order received, no refund processed Chatting with customer care for last  hours deepigoyal ZomatoIN",Negative
1575,sameergupta So what youd rather do is hurt Swiggys and the paanwalas business so you can save on petrol Not,Neutral
1576,"penguica Im so pissed off with the brands these days Most days i tweet only complaints to either Zomato, Uber, Ola or Vodafone Why",Negative
1577,I really want to know what is chef working at from past two hours horribleservice foodpanda foodpandaIndia,Positive
1578,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1579,"And speaking of such changing conditions, Zomato isnt the only out there that does such things This pattern is th",Neutral
1580,I liked a YouTube video     Online Food Orders  Zomato  Swiggy,Positive
1581,"abhishekgoel deepigoyal ZomatoIN Zomato ZomatoUK ZomatoSA ZomatoQA Hey Abhishek, sorry to disappoint you",Negative
1582,PutaniPapa Swiggy ge jai,Neutral
1583,riotsjain deepigoyal Please reconsider the change in ur Zomato gold policy It is highly unfair and discriminatory,Negative
1584,riotsjain ZomatoGold and ZomatoIN you might want to take a look at this,Positive
1585,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1586,Alexithymic Please find snapshot of old zomatogold membership terms and conditions  Its contractually wrong for you to change them,Negative
1587,Pathetic customer support foodpanda,Negative
1588,vilegenius Every couple having a gold membership should ask for a refund Whats the point of having it if your partner has one Zoma,Neutral
1589,rochit Zomato Cheating and fraud by ZomatoIN How can you change terms of existing members U set any rule for new Members,Negative
1590,pacificleo Zomato Paying for the gold membership and then using it is not called MISUSING,Neutral
1591,gauravsrmist ZomatoIN Zomato aajtak ndtv PMOIndia Zomato pls stop cheating with people You sold gold membership to individuals,Negative
1592,zomatocare deepigoyal ZomatoIN Zomato ZomatoUK ZomatoSA ZomatoQA  is the order number Chatting,Positive
1593,riotsjain deepigoyal Please reconsider the change in ur Zomato gold policy It is highly unfair and discriminatory,Negative
1594,iamqueenr Hi Queen You may check our menu here,Neutral
1595,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1596,Update nag foodpanda na pud mi huhuhuhu,Negative
1597,ZomatoIN nicely screwing people who bought Zomato Gold Shouldnt have got it in the first place zomatogold,Positive
1598,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1599,swiggyin Get  off on your first Swiggy order Use code BINGE No Minimum order value Max discount order TCA,Positive
1600,"Hoi Gurgaon waalon Aaj Chhole Chawal wala dinner, ho jaayeOrder now on Zomato",Neutral
1601,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1602,"Zomato this fucking sucks Starving since morning, Ordered this  hour back And still its the same",Negative
1603,"jatinchheda Absolute PONZI scheme by ZomatoGoldShocked a business like Zomato gains solid reputation,stoops to such crass amp shall",Positive
1604,Downloaded zomato and tried to order Its been  hours theyre still trying to get back and the app shows the ord,Neutral
1605,Chinese internet giant Tencent to invest big on Swiggy,Neutral
1606,"awesomeambar Dear Ambar, apologies for the inconvenience We would request you to change your Paytm Password Pos",Neutral
1607,"HoiFoods Hoi Gurgaon waalon Aaj Chhole Chawal wala dinner, ho jaayeOrder now on Zomato  Monday",Neutral
1608,Zomato android app is now available at hazel store,Neutral
1609,shenoi aartijethwani b Zomato It was unfair for restaurants We have used  Zomato golds with just  people,Negative
1610,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1611,paltishot vingtquatre The ladys saying theres already a saffron wave across Tamil Nadu The meme says  very s,Neutral
1612,zomatocare Zomato What is thisYou cancelled my order with my concent This  was never expected from you,Negative
1613,jangan download app FOODPANDA  DAHMAKAN sebab nafsu makan takleh kawal wahai qamariyna  bawa bertenang,Neutral
1614,"AshaRajis sasvathapriya Imagine in the future, aprom inniki enna foodpanda panningge",Neutral
1615,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1616,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1617,RangaprasadKPR Swiggy Delivery Boys flouting Traffic rules daily in Chennai City Will swiggyin SwiggyCares harshamjty and Polic,Neutral
1618,jatinchheda arjunsingh cant you see Zomato losing faceampsolid reputation built with ZomatoGold ampnow turning into nothing but a,Negative
1619,b Zomato What changed Wasnt this the rule all along,Neutral
1620,"iamag tterIndia rsrajat kgahlot Mobile app should be introducedLike zomato, swiggy, foodpanda etc, order is booked online a",Neutral
1621,Trash Tomato dont show it true colour s,Negative
1622,"whydisway Zomato faasos Hey Vishal, kindly share the digit Zomato order ID so that we can get this checked ASAPAM",Positive
1623,iamdariusxavier deepigoyal pankajchaddah well thats really wrong and bad to cheat consumers  At least give the services we consume,Negative
1624,zomatocare Zomato faasos,Neutral
1625,"Sergixta Hey ZomatoIN , whats up with thisDoes that fact that I have no friends and I eat alone mean that I cant use your gold b",Neutral
1626,SwiggyCares FreshMenuIndia this is how FreshMenu and Swiggy delivery sucks in BengaluruI am starving and they ar,Negative
1627,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1628,girishmallya ZomatoIN what if there are  friends on a table Can two Zomato golds be opened or will it be only one,Positive
1629,ZomatoIN aajtak ndtv Zomato PMOIndia this is unethical business practice Completely fraudulent I want justic,Negative
1630,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1631,Zomato announced a drastic change in their Gold Benefits Usage policy Would you consider this as an unfair change,Negative
1632,gauravsrmist ZomatoIN aajtak ndtv Zomato PMOIndia this is unethical business practice Completely fraudulent I want justice bein,Negative
1633,"Chinas Ctrip Could Make First Bet In Food Biz, Invest  Mn In ZomatoKnow more",Neutral
1634,zomatocare deepigoyal ZomatoIN Zomato ZomatoUK ZomatoSA ZomatoQA Fake customer care Not responding to chat,Neutral
1635,Chinas Travel Company Ctrip May Invest  Mn In Zomato  Inc Media   China travel,Neutral
1636,Iamdeepakraj SwiggyCares FreshMenuIndia this is how FreshMenu and Swiggy delivery sucks in BengaluruI am starving and they are cal,Negative
1637,Fake customer care on twitter Just asking for details and no action further Stop fooling customers deepigoyal,Negative
1638,"Stop ordering from Zomato Taking money from customers Order not received after  hours, customer care unreponsive",Positive
1639,Which Side you are onkapitalkitchen swaddillika tastyfood zomato authenticfood delhi mumbai foodgasm,Neutral
1640,I have ordered to my near by restaurant but it delivered very late and the food was cold as i have seen that the or,Neutral
1641,kunwarbir Zomato ZomatoIN ZomatoGold what is this cheap behavior Pivoting your offer plan midway thru the offer period coz you rea,Neutral
1642,Is there an official statement from Zomato on twitter or a thread for more details on refund for gold ZomatoGold zomatogold ZomatoIN,Neutral
1643,kelvincfc Zomato announced a drastic change in their Gold Benefits Usage policy Would you consider this as an unfair change in TampCs,Negative
1644,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1645,Are you discouraging to use Zomato gold What an irony Rather than encouraging the usage amp providing more benefi,Positive
1646,Changing TampC for an ongoing subscription Such a petty move Zomato ZomatoIN  No points on guessing who wont be,Negative
1647,"HoiFoods Hoi Gurgaon waalon Aaj Chhole Chawal wala dinner, ho jaayeOrder now on Zomato  Monday",Neutral
1648,Sunday BrunchAuthentic Taste Of Old DillidillionwheelsOrder Online  Part,Neutral
1649,"ZomatoIN only using social media for marketing, while it could be used for customer service Have not seen any rep",Neutral
1650,Paneer Chawal ComboAuthentic Taste Of Old dillionwheelsOrder Online  Par,Neutral
1651,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1652,RajmaKadhi Chawal ComboAuthentic Taste Of Old DillidillionwheelsOrder Online,Neutral
1653,"agarwalsweets ordered Kari, rice Via  sent in torn box, full of dustvery bad service",Negative
1654,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1655,and foodpanda doesnt really have anything goood,Neutral
1656,Changing TampC for an ongoing subscription Such a petty move Zomato ZomatoIN  This is not what we signed up for,Negative
1657,I liked a YouTube video  Ajaz Khan ANGRY REACTION on ZOMATO Food Delivery Service,Negative
1658,Chole KulcheAuthentic Taste Of Old DillidillionwheelsOrder Online  Partne,Neutral
1659,"This photo of Dilli  On Wheels, Sector , Gurgaon on Zomato is making me hungry",Neutral
1660,"And another one on Zomato    A new review has been written for your restaurant Fraiche Ayres Restaurant, Mowbray",Neutral
1661,"Hahaha, the Zomato meltdown is classic Most large companies end up doing this to consumers Confident that no one",Positive
1662,Zomato knows how to hurt the forever alone where it hurts the most,Negative
1663,"Hey, join Zomato Gold and get  on food or  on drinks Also get a  OFF using my referral code NIKHILO here",Positive
1664,JigarJDesai Are you discouraging to use Zomato gold What an irony Rather than encouraging the usage amp providing more benefits you,Positive
1665,"apurvahv In case you are wondering, yes you can take ZomatoIN to court Consumer courts have repeatedly said service providers canno",Positive
1666,"aditiagrawal Zomato Hey Aditi, apologies for the hassleKindly share your order details and we shall get this checked ASAPAM",Positive
1667,I saw a foodpanda guy scoot towards me and subconsciously licked my lips cb I think that guy thought I trying to se,Neutral
1668,This is how zomatocare responds No response Customer keep chattingdeepigoyal ZomatoIN  Zomato ZomatoUK,Negative
1669,"techieV Except, the problem with most consumer courts in India is how they arent any different from the civilcriminal proceedings t",Negative
1670,Despite sharing order details no actiondeepigoyal ZomatoIN zomatocare Zomato ZomatoUK ZomatoSA ZomatoQA,Negative
1671,"The Mughals have now captured Zomato,find us and order online Mughlaishaan nawabipeshkash restaurant finedine",Neutral
1672,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1673,nekzaad Image  TampC clearly state that EACH Zomato gold member can order and avail of a  dish So  gold members can get  dishes,Positive
1674,DrQuake Check out Sweet Truth on Zomato,Positive
1675,JigarJDesai Are you discouraging to use Zomato gold What an irony Rather than encouraging the usage amp providing more benefits you,Positive
1676,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1677,JigarJDesai Are you discouraging to use Zomato gold What an irony Rather than encouraging the usage amp providing more benefits you,Positive
1678,"Dear snapdeal, Why only your courier services havr issues with delivery of ordered paid products and not amazon",Positive
1679,zomatocare Zomato As advised I ordered againPlease Deliver this order ASAP,Neutral
1680,Sergixta ZomatoIN Zomato At least  people rule was there already The new rule is a bummer though,Negative
1681,This is how zomato respond noresponsedeepigoyal ZomatoIN zomatocare Zomato ZomatoUK ZomatoSA ZomatoQA,Neutral
1682,zomatocare deepigoyal ZomatoIN Zomato ZomatoUK ZomatoSA ZomatoQA What do you mean by ASAP,Neutral
1683,zomatocare deepigoyal ZomatoIN Zomato ZomatoUK ZomatoSA ZomatoQA Till now no reply and no response,Negative
1684,"BhardwajAnanya So basically ZomatoIN lured customers into buying their annual gold subscription and once it became popular, they very",Positive
1685,zomatocare Zomato hello my blnc not refund,Neutral
1686,sonikasonik Yep We referred friends and colleagues precisely due to the older TampCs This is sheer cheating ZomatoIN zomatogold,Positive
1687,ZomatoIN Zomato cheaters zomatogoldcheater,Negative
1688,akash Zomato  iska paisa kaun waps karega,Neutral
1689,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1690,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1691,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1692,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1693,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1694,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1695,effx Nanti yat oderkan kat foodpanda,Neutral
1696,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1697,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1698,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1699,zomatocare Zomato,Neutral
1700,"zomatocare akash Zomato Hi Akash, we are getting this checked and well reach out to you ASAPAM",Positive
1701,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1702,DarshanPai How can you make radical changes to a policy after extensively marketing and selling it in a completely different manner,Neutral
1703,"kewlioharsh Suddenly feeling cheated by zomato gold Pathetic strategy , never expected  Zomato ZomatoIN   zomatogold",Negative
1704,Nikunjdaga kewlioharsh Zomato ZomatoIN Yes this is totally unacceptable Changing terms after buying the product shame zomatogo,Negative
1705,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1706,zomatocare Zomato,Neutral
1707,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1708,YouTube   tanintel x foodpanda,Neutral
1709,zomatocare Zomato cl me on,Neutral
1710,"Just trying to get my head around this,Zomato is introducing volunteer food hygiene audit which they charge",Neutral
1711,"ZOMATO,  aplikasi pecinta kuliner Cocok buat kamu yg suka kuliner Bisa ngasih rekomendasi juga kuliner di seki",Neutral
1712,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1713,"ZomatoIN First you put a lucrative offer on the table and when your customer buys Zomato Gold for that, you chang",Neutral
1714,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1715,Zomato ZomatoIN zomatocare ZomatoGold This is not what you promised This is not what I paid for zomatogold,Negative
1716,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1717,jhunjhunwala This is just brilliant marketing FoodpandaIndia Swiggy should be worried FoodWar indeed,Positive
1718,"ZomatoIN zomatocare Zomato This is so uncool, you cant make such changes for existing users boycottzomatogold",Neutral
1719,OldMonKing Changing TampC for an ongoing subscription Such a petty move Zomato ZomatoIN  This is not what we signed up for No poi,Negative
